Date,Spot_Price,Futures_Price_Near
2024-01-01,452.626469673913,1233.725
2024-02-01,429.726320000000,1175.302632
2024-03-01,433.527543250000,1184.592105
2024-04-01,427.922140704545,1175.095238
2024-05-01,447.494333315217,1223.690476
2024-06-01,430.971450262500,1149.791667
2024-07-01,411.082125391304,1069.285714
2024-08-01,361.829410329545,989.9047619
2024-09-01,372.095576250000,1020.315789
2024-10-01,368.491384434783,1007.613636
2024-11-01,365.516704250000,999.8684211
2024-12-01,361.236500625000,986.6625
2025-01-01,377.853040173913,1034.407895
2025-02-01,382.083957412500,1052.083333
2025-03-01,369.344173000000,1011.8
